"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"YTHIEL",415557,16150,65915,1602,432,1267,633,176,315,1770100,1318420,3374
"MIYUNBUYU",414914,12994,51243,2334,487,559,442,169,747,958300,588415,2927
"RIGHTWINGNINJA",411878,15064,39720,2784,490,543,361,422,610,1332500,713108,1880
"ERUISS",406722,23300,55437,5280,430,1246,774,298,1093,1929000,913680,4335
"AFROKITSUNE",405887,38926,64067,11194,192,916,564,417,1561,2107200,1384612,10487
"FLAT CAT",404384,18190,53840,2348,252,613,613,891,549,1626400,689643,7294
"WASUPZ3R",401762,19215,58644,3829,371,499,398,227,801,1802600,1448186,3079
"PLAYSKULL",401706,17825,58217,3437,1625,427,276,138,839,1403200,686314,2180
"ROSWORTH",401687,27350,73293,3534,248,534,307,419,716,2097200,855050,2027
"LEEIZAZOMBIE",398315,14840,39967,3330,612,487,553,112,688,991500,794394,3770
"CANNON-FODDER",398310,14168,58820,3465,555,569,330,128,543,1181700,677016,5358
"POOFY PONY",397805,26021,56203,3162,394,567,267,895,697,1950000,1208259,2749
"ICETECHNICIAN",394414,22129,60801,5782,215,1362,1512,167,2003,2002700,698491,5104
"SEVASTOPOL",393833,20216,73576,8171,437,627,483,272,1185,1731200,975336,5272
"PT.C",389622,23554,68003,8371,830,1365,1255,135,1144,2098900,778048,3425
"TIGER5678",389119,28928,73256,5525,318,1307,1052,159,2309,2102600,1264096,13936
"CORIOLIS1128",386450,35963,56250,4065,222,1078,1111,976,974,2099600,1477143,6245
"KUJO",386064,8453,30075,983,762,568,259,162,585,780900,344443,832
"KINGFISH101",384807,20029,48034,6126,224,791,366,888,796,2022200,1225405,4579
"MR.LIU9621",381118,27947,50892,6733,316,894,493,169,1092,2099200,831615,5143
"MERBLE",379989,15918,56030,3244,292,539,440,369,784,1521800,901894,5506
"LIU",379542,20289,46020,7881,292,791,392,57,1000,2000300,515538,2295
"CPTFOOT",379421,9976,46846,1071,464,642,424,269,438,807000,516583,3885
"STARWEN",378096,12403,52623,458,680,536,497,196,884,965800,108951,2579
"NO-BIO",376982,11422,43773,597,524,319,233,62,686,707600,842889,1660
"JOHRAEL",376465,34865,71254,6913,416,1375,885,123,1075,2098900,1358372,12112
"TALION-FR",375797,31810,82298,16808,203,812,440,269,545,2103500,1550370,6354
"HERMAÃUR",374079,9226,35070,767,423,654,356,191,512,879400,518230,3986
"WANZER",373371,17009,64341,2043,307,469,421,306,378,1610700,989217,3201
"YARRINGMEOWER",369689,20415,52165,3028,254,1044,587,287,1362,1611200,666186,4593
"PRVJPT",369442,47761,99713,26678,227,130,404,219,982,2106400,3155733,3246
"GHJI",364998,15353,43860,5542,201,713,578,33,1470,1030599,384115,2723
"SARGEANTWAR",362977,26139,35459,5444,272,440,273,129,866,1411000,910855,2616
"MTHL",362768,20624,49882,3370,274,851,902,200,1128,1391100,478741,8145
"DKFLA222",362395,18512,65026,7510,274,403,285,247,1034,1352100,2043719,5068
"BLEUGH",361930,6777,25295,834,393,424,264,123,540,589600,196253,729
"BASTO",361318,19043,53006,5041,247,234,471,100,703,994700,505516,4486
"EL_CULERO",360649,32624,41103,8787,179,693,477,661,2333,2101900,1590646,4771
"CAPITAN RUSSEL",359963,18623,35429,4560,185,797,600,144,1744,1407600,605417,2150
"UNIVERSALI",357577,16208,45936,2952,333,612,619,203,1293,1448300,903665,4994
"ENGUARD",357047,23319,51646,5880,318,568,432,247,936,2068900,968938,3501
"CORIOLIS1996",354243,47840,55849,8491,300,1186,957,479,1143,2100300,1513107,5338
"SEDA",353959,3988,14420,743,477,402,222,18,640,200600,113549,897
"NUTTERTOOL",353748,16481,56879,4586,273,562,578,268,1006,1666100,620639,8086
"RITHILIN",352644,26978,39996,6022,215,786,274,138,1365,1992000,857120,1654
"OPT_0",350474,28949,35365,5341,172,520,664,487,1358,1157500,609620,4001
